manufacturer,year,model,total_range_in_mls,electric_consumption,electric_storage,analogue_consumption,analogue_storage,emission_value,min_price,max_price,car_type
Chevrolet,2020,Blazer FWD,441,0,0.0,21,19.4,414,28800.0,42700.0,Regular Gasoline
Chevrolet,2024,Colorado 2WD,441,0,0.0,21,21.4,420,29500.0,31900.0,Regular Gasoline
Chevrolet,2022,Colorado 4WD,441,0,0.0,21,21.0,431,29100.0,38600.0,Regular Gasoline
Chevrolet,2021,Colorado 4WD,441,0,0.0,21,21.0,431,29100.0,37600.0,Regular Gasoline
Chevrolet,2020,Colorado 4WD,449,0,0.0,21,21.0,428,28700.0,37700.0,Regular Gasoline
Chevrolet,2019,Colorado 4WD,456,0,0.0,21,21.0,429,28700.0,37300.0,Regular Gasoline
Chevrolet,2023,Colorado 4WD,407,0,0.0,21,21.4,427,32500.0,39900.0,Regular Gasoline
Chevrolet,2023,Traverse FWD,456,0,0.0,21,0.0,417,34520.0,52000.0,Regular Gasoline
Chevrolet,2022,Traverse FWD,456,0,0.0,21,0.0,417,33700.0,51200.0,Regular Gasoline
Chevrolet,2021,Traverse FWD,441,0,0.0,21,0.0,420,29800.0,50900.0,Regular Gasoline
Chevrolet,2020,Traverse FWD,441,0,0.0,21,0.0,420,29800.0,50900.0,Regular Gasoline
Chevrolet,2019,Traverse FWD,480,0,0.0,21,0.0,420,29930.0,45500.0,Regular Gasoline
Chevrolet,2024,Blazer AWD,480,0,0.0,21,21.7,422,38100.0,45700.0,Regular Gasoline
Chevrolet,2024,Traverse Limited FWD,480,0,0.0,21,19.4,433,34520.0,52000.0,Regular Gasoline
Chevrolet,2020,Blazer AWD,480,0,0.0,21,21.7,433,34800.0,45600.0,Regular Gasoline
Chevrolet,2019,Blazer AWD,480,0,0.0,21,21.7,426,36000.0,45600.0,Regular Gasoline
Chevrolet,2022,Colorado 2WD,480,0,0.0,21,21.0,424,25200.0,34800.0,Regular Gasoline
Chevrolet,2021,Colorado 2WD,480,0,0.0,21,21.0,424,25200.0,33800.0,Regular Gasoline
Chevrolet,2023,Silverado 2WD,480,0,0.0,20,24.0,446,36300.0,62100.0,Regular Gasoline
Chevrolet,2022,Silverado 2WD,480,0,0.0,20,24.0,441,34600.0,59800.0,Regular Gasoline
Chevrolet,2022,Silverado 2WD,480,0,0.0,20,24.0,441,34600.0,59800.0,Regular Gasoline
Chevrolet,2020,Silverado 2WD,480,0,0.0,20,24.0,422,28300.0,53300.0,Regular Gasoline
Chevrolet,2021,Silverado 4WD,420,0,0.0,20,24.0,442,33900.0,57700.0,Regular Gasoline
