emission_value,min_price,max_price,car_type
556,39200.0,63600.0,Regular Gasoline
555,48900.0,51800.0,Premium Gasoline
555,,,Regular Gasoline
569,55400.0,75700.0,Regular Gasoline
568,55400.0,75700.0,Premium Gasoline
555,55400.0,75700.0,Premium Gasoline
558,54700.0,75300.0,Premium Gasoline
568,52700.0,73000.0,Premium Gasoline
556,52700.0,73000.0,Regular Gasoline
555,52700.0,73000.0,Premium Gasoline
558,52000.0,72600.0,Premium Gasoline
555,39200.0,63600.0,Regular Gasoline
555,39200.0,63600.0,Premium Gasoline
563,33900.0,57700.0,Regular Gasoline
563,35500.0,56800.0,Regular Gasoline
560,48900.0,51800.0,Regular Gasoline
560,48900.0,51800.0,Regular Gasoline
561,39500.0,48800.0,Regular Gasoline
556,39500.0,48800.0,Regular Gasoline
556,39500.0,48600.0,Regular Gasoline
558,39500.0,48600.0,Regular Gasoline
567,,,Premium Gasoline
566,,,Premium Gasoline
564,62200.0,82900.0,Premium Gasoline
564,59900.0,80100.0,Premium Gasoline
566,59200.0,79900.0,Regular Gasoline
564,59200.0,79900.0,Premium Gasoline
564,57200.0,77400.0,Premium Gasoline
566,57200.0,77400.0,Regular Gasoline
571,30900.0,78100.0,Premium Gasoline
571,26400.0,73300.0,Premium Gasoline
571,25000.0,69000.0,Premium Gasoline
571,25000.0,69000.0,Premium Gasoline
571,,,Premium Gasoline
571,25000.0,68000.0,Premium Gasoline
570,54700.0,75300.0,Premium Gasoline
570,52000.0,72600.0,Premium Gasoline
572,,,Regular Gasoline
575,39500.0,48800.0,Premium Gasoline
590,,,Regular Gasoline
582,,,Regular Gasoline
577,,,Regular Gasoline
591,69900.0,69900.0,Premium Gasoline
585,71500.0,71500.0,Premium Gasoline
588,68400.0,68400.0,Premium Gasoline
583,,,Regular Gasoline
577,,,Regular Gasoline
589,,,Regular Gasoline
593,,,Regular Gasoline
593,,,Regular Gasoline
593,,,Regular Gasoline
592,,,Regular Gasoline
590,,,Premium Gasoline
585,,,Regular Gasoline
581,,,Regular Gasoline
592,,,Regular Gasoline
594,,,Regular Gasoline
610,,,Regular Gasoline
592,55495.0,132900.0,Premium Gasoline
593,48900.0,51800.0,Regular Gasoline
611,,,Regular Gasoline
593,,,Regular Gasoline
597,110100.0,130650.0,Premium Gasoline
597,,,Premium Gasoline
613,55495.0,132900.0,Premium Gasoline
634,,,Regular Gasoline
635,,,Regular Gasoline
