manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2020,Blazer FWD,576,362,28800.0,42700.0,Regular Gasoline,0,0,24,19.4,Find.do?action=sbs&id=42343
Chevrolet,2024,Tahoe 2WD,672,425,56200.0,76900.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=47400
Chevrolet,2023,Tahoe 2WD,552,428,54200.0,74400.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=45564
Chevrolet,2022,Tahoe 2WD,499,425,49700.0,70000.0,Unknown,0,0,24,24.0,Find.do?action=sbs&id=44595
Chevrolet,2021,Tahoe 2WD,446,421,49000.0,69600.0,Unknown,0,0,24,28.0,Find.do?action=sbs&id=43493
Chevrolet,2022,Silverado 4WD,446,443,39200.0,63600.0,Unknown,0,0,23,24.0,Find.do?action=sbs&id=45195
Chevrolet,2020,Blazer AWD,644,374,34800.0,45600.0,Regular Gasoline,0,0,23,21.7,Find.do?action=sbs&id=42346
Chevrolet,2021,Blazer FWD,644,382,28800.0,42700.0,Regular Gasoline,0,0,23,19.4,Find.do?action=sbs&id=42897
Chevrolet,2020,Blazer FWD,644,382,28800.0,42700.0,Regular Gasoline,0,0,23,19.4,Find.do?action=sbs&id=41869
Chevrolet,2024,Suburban 2WD,644,442,59200.0,79900.0,Unknown,0,0,23,28.0,Find.do?action=sbs&id=47401
Chevrolet,2023,Suburban 2WD,552,442,56900.0,77100.0,Unknown,0,0,23,28.0,Find.do?action=sbs&id=45565
Chevrolet,2022,Suburban 2WD,437,442,52400.0,72700.0,Unknown,0,0,23,28.0,Find.do?action=sbs&id=44596
Chevrolet,2021,Suburban 2WD,437,437,51700.0,72300.0,Unknown,0,0,23,28.0,Find.do?action=sbs&id=43494
Chevrolet,2024,Silverado 4WD,483,450,41400.0,66500.0,Unknown,0,0,23,24.0,Find.do?action=sbs&id=46836
Chevrolet,2020,Camaro,483,378,,,Unknown,0,0,23,19.0,Find.do?action=sbs&id=41548
Chevrolet,2019,Camaro,483,379,25000.0,68000.0,Unknown,0,0,23,19.0,Find.do?action=sbs&id=40460
Chevrolet,2022,Colorado 2WD,483,435,25200.0,34800.0,Unknown,0,0,23,21.0,Find.do?action=sbs&id=44383
Chevrolet,2021,Colorado 2WD,528,435,25200.0,33800.0,Unknown,0,0,23,21.0,Find.do?action=sbs&id=42811
Chevrolet,2020,Colorado 2WD,528,435,21300.0,33900.0,Unknown,0,0,23,21.0,Find.do?action=sbs&id=41615
Chevrolet,2019,Colorado 2WD,528,435,20600.0,34000.0,Unknown,0,0,23,21.0,Find.do?action=sbs&id=40502
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427,463,,,Unknown,0,0,22,24.0,Find.do?action=sbs&id=46837
Chevrolet,2024,Silverado Mud Terrain Tires 4WD,427,471,,,Unknown,0,0,22,24.0,Find.do?action=sbs&id=46838
Chevrolet,2023,Silverado Mud Terrain Tires 4WD,462,463,,,Unknown,0,0,22,24.0,Find.do?action=sbs&id=45797
Chevrolet,2021,Blazer FWD,462,404,28800.0,42700.0,Regular Gasoline,0,0,22,19.4,Find.do?action=sbs&id=42957
Chevrolet,2019,Blazer FWD,462,405,28800.0,42700.0,Regular Gasoline,0,0,22,19.4,Find.do?action=sbs&id=41171
Chevrolet,2020,Colorado 2WD,616,406,21300.0,33900.0,Regular Gasoline,0,0,22,21.0,Find.do?action=sbs&id=41617
Chevrolet,2019,Colorado 2WD,616,406,20600.0,34000.0,Regular Gasoline,0,0,22,21.0,Find.do?action=sbs&id=40387
Chevrolet,2019,Colorado 2WD,616,403,20600.0,34000.0,Regular Gasoline,0,0,22,21.0,Find.do?action=sbs&id=40388
Chevrolet,2024,Suburban 4WD,616,462,62200.0,82900.0,Unknown,0,0,22,28.0,Find.do?action=sbs&id=47423
Chevrolet,2023,Suburban 4WD,528,462,59900.0,80100.0,Unknown,0,0,22,28.0,Find.do?action=sbs&id=45583
Chevrolet,2022,Suburban 4WD,528,462,55400.0,75700.0,Unknown,0,0,22,28.0,Find.do?action=sbs&id=44602
Chevrolet,2021,Suburban 4WD,528,444,54700.0,75300.0,Unknown,0,0,22,28.0,Find.do?action=sbs&id=43596
Chevrolet,2024,Tahoe 4WD,616,462,59200.0,79900.0,Unknown,0,0,22,24.0,Find.do?action=sbs&id=47422
Chevrolet,2023,Tahoe 4WD,471,462,57200.0,77400.0,Unknown,0,0,22,24.0,Find.do?action=sbs&id=45582
Chevrolet,2022,Tahoe 4WD,471,462,52700.0,73000.0,Unknown,0,0,22,24.0,Find.do?action=sbs&id=44601
Chevrolet,2021,Tahoe 4WD,418,444,52000.0,72600.0,Unknown,0,0,22,28.0,Find.do?action=sbs&id=43595
Chevrolet,2019,Traverse FWD,418,404,29930.0,45500.0,Unknown,0,0,22,0,Find.do?action=sbs&id=40361
Chevrolet,2023,Colorado 2WD,418,406,29200.0,31600.0,Regular Gasoline,0,0,22,21.4,Find.do?action=sbs&id=46459
Chevrolet,2024,Colorado 2WD,418,412,29500.0,31900.0,Regular Gasoline,0,0,22,21.4,Find.do?action=sbs&id=47587
Chevrolet,2022,Camaro,418,385,,,Unknown,0,0,22,19.0,Find.do?action=sbs&id=44213
Chevrolet,2021,Camaro,462,397,25000.0,69000.0,Unknown,0,0,22,19.0,Find.do?action=sbs&id=42888
Chevrolet,2020,Camaro,462,397,,,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=41645
Chevrolet,2019,Camaro,462,396,25000.0,68000.0,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=40458
Chevrolet,2023,Camaro,462,401,26400.0,73300.0,Unknown,0,0,22,19.0,Find.do?action=sbs&id=45344
Chevrolet,2022,Colorado 4WD,407,455,29100.0,38600.0,Unknown,0,0,22,21.0,Find.do?action=sbs&id=44390
Chevrolet,2021,Colorado 4WD,407,455,29100.0,37600.0,Unknown,0,0,22,21.0,Find.do?action=sbs&id=42749
Chevrolet,2020,Colorado 4WD,427,456,28700.0,37700.0,Unknown,0,0,22,21.0,Find.do?action=sbs&id=41622
Chevrolet,2019,Colorado 4WD,427,455,28700.0,37300.0,Unknown,0,0,22,21.0,Find.do?action=sbs&id=40649
Chevrolet,2020,Impala,427,406,31620.0,36720.0,Regular Gasoline,0,0,22,18.5,Find.do?action=sbs&id=41745
Chevrolet,2019,Impala,462,406,28020.0,36720.0,Regular Gasoline,0,0,22,18.5,Find.do?action=sbs&id=40197
Chevrolet,2023,Blazer FWD,462,404,35100.0,42800.0,Regular Gasoline,0,0,22,19.4,Find.do?action=sbs&id=45374
Chevrolet,2022,Blazer FWD,418,405,33400.0,41100.0,Regular Gasoline,0,0,22,19.4,Find.do?action=sbs&id=44013
Chevrolet,2024,Blazer FWD,418,411,35400.0,42800.0,Regular Gasoline,0,0,22,19.4,Find.do?action=sbs&id=46862
Chevrolet,2022,Colorado 2WD,418,413,25200.0,34800.0,Regular Gasoline,0,0,22,21.0,Find.do?action=sbs&id=44352
Chevrolet,2021,Colorado 2WD,418,413,25200.0,33800.0,Regular Gasoline,0,0,22,21.0,Find.do?action=sbs&id=42545
Chevrolet,2024,Camaro,407,407,30900.0,78100.0,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=47047
Chevrolet,2023,Camaro,296,407,26400.0,73300.0,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=45403
Chevrolet,2022,Camaro,407,404,,,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=44230
Chevrolet,2021,Camaro,296,404,25000.0,69000.0,Regular Gasoline,0,0,22,19.0,Find.do?action=sbs&id=42882
Chevrolet,2020,Impala,504,411,31620.0,36720.0,Regular Gasoline,0,0,22,18.5,Find.do?action=sbs&id=41746
